"id","frameCond","timeCond","startDate","endDate","recordedDate","durationSecs","consent","sliderTraining","dgComp","manipCheckPre","dgFirstClickSecs","dgLastClickSecs","dgPageSubmitSecs","dgClickCount","dgAmountGiven","explanation","experience","manipCheckPost","studyPurpose","debrief","prolificApprovals","fluentLanguages","age","sex","ethnicity","countryBirth","countryResidence","nationality","language","student","employment"
1075,"Debt","Pressure",2023-08-20 17:35:27,2023-08-20 17:42:10,2023-08-20 17:42:12,403,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The person I was matched with was given .25 and which was multiplied by four. They were asked if they wanted to share it with me and they said they did. This is where I was given the dollar.",4.409,6.296,7.599,2,0.5,"It would double the amount the person originally had and it seemed a split seemed fair.","Some experience","They were give 25 cents and it was doubled. They gave it to me.","I meant to say in the last question it was multiplied by four.  I think the study was meant to see how much people would give back based on information given about the person they were giving the money to.","No, I would like to complete the study.",3541,"English",54,"Female","White","United States","United States","United States","English","No","Full-Time"
1076,"Debt","Delay",2023-08-20 17:35:14,2023-08-20 17:42:24,2023-08-20 17:42:25,429,"I consent to participate in this study. Take me to the study.",0.51,"You would earn $0.75, and the other person would earn $0.25","0.25=> = 1$ 2 me",7.93,15.528,16.171,3,0.33,"Because it wouldn't hurt no matter what","Some experience","Whatever I give rhem they have the option of giving me back 4x","Idk, altruism?","No, I would like to complete the study.",2584,"English",38,"Male","White","United States","United States","United States","English",NA,NA
1077,"Need","Delay",2023-08-20 17:38:57,2023-08-20 17:42:55,2023-08-20 17:42:55,238,"I consent to participate in this study. Take me to the study.",0.62,"You would earn $0.75, and the other person would earn $0.25","A person who lacks access to regular food or the means obtain it.",1.929,10.003,12.52,6,1,"it's a dollar, doesn't hurt me much","Some experience","An individual who lacks access to food and makes use of soup kitchens.","Altruism.","No, I would like to complete the study.",774,"English",29,"Male","Mixed","United States","United States","United States","English","No","Due to start a new job within the next month"
1078,"Debt","Pressure",2023-08-20 17:40:30,2023-08-20 17:43:29,2023-08-20 17:43:29,178,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","They were given the option of passing on money to me with a multiplier, and I am being asked how much I would like to give back",2.842,2.842,3.596,1,0.5,"I wanted to reward prosocial behavior, as it is the foundation of humanity","A lot of experience","Only that they were anonymous and that I wouldn't be given any personal details other than the experiment itself","Reciprocity in altruism","No, I would like to complete the study.",2431,"English",34,NA,"White","United States","United States","United States","English",NA,NA
1079,"Need","Delay",2023-08-20 17:37:48,2023-08-20 17:43:54,2023-08-20 17:43:55,365,"I consent to participate in this study. Take me to the study.",0.83,"You would earn $0.75, and the other person would earn $0.25","I was told that the other person lacks regular meals and usually eats from a local soup kitchen.",5.023,14.118,23.033,4,0,"I chose not to give any money because I myself am also struggling and I believe that charity begins at home. You have to help yourself before you can help somebody else.","Some experience","The other person regularly receives meals at a local soup kitchen.","I think this study was trying to test people's generosity given extreme circumstances.","No, I would like to complete the study.",3314,"English",31,"Female","Other","United States","United States","United States","English",NA,NA
1080,"Debt","Delay",2023-08-20 17:36:58,2023-08-20 17:44:10,2023-08-20 17:44:11,432,"I consent to participate in this study. Take me to the study.",0.75,"You would earn $0.75, and the other person would earn $0.25","Before the study, the other person was given 0.25 and was asked if they wanted to triple this amount by four and transfer that amount to me and they said 'yes.'",11.139,12.827,13.828,2,0.5,"I felt that it was fair that we should both receive an even amount of money.","Some experience","They were asked before the task if they wanted to multiply their .25 by 4 and transfer it to me and they said 'yes.' Also they said that they would not know who I am.","I don't know.","No, I would like to complete the study.",2389,"English",47,"Female","White","United States","United States","United States","English",NA,"Part-Time"
1081,"Control","Pressure",2023-08-20 17:37:31,2023-08-20 17:44:38,2023-08-20 17:44:39,427,"I consent to participate in this study. Take me to the study.",0.75,"You would earn $0.75, and the other person would earn $0.25","The other person is anonymous.  I will not know them and they will not know me.  i will start with $1 and they will start with $0",2.45,10.103,11.002,5,0.5,"I would rather share 50/50 on a bonus versus take it all or see someone else achieve more.","Some experience","The other user is on Prolific as well.  They are anonymous as am I.  They started out with $0","People being willing to share/give with/to a person they do not know","No, I would like to complete the study.",506,"English",37,"Male","White","United States","United States","United States","English",NA,NA
1082,"Control","Pressure",2023-08-20 17:40:41,2023-08-20 17:44:39,2023-08-20 17:44:39,238,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The other person is randomly selected and anonymous.",0.902,5.342,7.215,5,0.2,"I would have felt bad if the other person got nothing, so I gave them a token amount.","Some experience","They are a person I do not know. They will receive the amount of money I designated for them.","The charitably of people.","No, I would like to complete the study.",743,"English",31,"Male","Mixed","United States","United States","United States","English",NA,"Full-Time"
1083,"Debt","Delay",2023-08-20 17:38:36,2023-08-20 17:44:47,2023-08-20 17:44:47,370,"I consent to participate in this study. Take me to the study.",0.66,"You would earn $0.75, and the other person would earn $0.25","My partner received $0.25 and chose to give it to me and have the amount multiply by 4.",13.585,23.065,26.189,3,0,"I want the maximum money I can be paid.","Some experience","They were give 25 cents. Afterwords, they chose to give me the 25 cents that would be multiplied by 4.","To see if we would give back the 25 cents","No, I would like to complete the study.",963,"English",23,"Male","Asian","United States","United States","United States","English","No","Full-Time"
1084,"Need","Pressure",2023-08-20 17:38:56,2023-08-20 17:44:56,2023-08-20 17:44:56,360,"I consent to participate in this study. Take me to the study.",0.76,"You would earn $0.75, and the other person would earn $0.25","The person doesn't have regular access to food and requires meals from a soup kitchen to eat.",2.796,4.264,5.709,3,0,"Because I can't verify the story of the other person, I chose to keep the money myself. If I choose, I can donate it someone who I know needs it.","A lot of experience","The person doesn't have regular access to food and relies on a soup kitchen for some of their meals.","Whether what we are told about someone effects how much we give them.","No, I would like to complete the study.",3590,"English",46,"Female","Mixed","United States","United States","United States","English","No","Full-Time"
1085,"Control","Pressure",2023-08-20 17:42:22,2023-08-20 17:45:17,2023-08-20 17:45:17,174,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The other person is a random person from prolific who I will never meet or communicate with.",2.022,2.562,3.469,2,0.38,"I wanted to give them something but was not sure if they would do the same for me.","Some experience","I was told they would receive whatever  I decide to give them. I will never know whothey are or communicate with them.","If people were willing to give money to anoter person.","No, I would like to complete the study.",250,"English",23,"Male","White","United States","United States","United States","English",NA,"Full-Time"
1086,"Debt","Pressure",2023-08-20 17:39:06,2023-08-20 17:45:19,2023-08-20 17:45:20,373,"I consent to participate in this study. Take me to the study.",0.53,"You would earn $0.75, and the other person would earn $0.25","They gave me $0.25 which was multiplied by 4. This is why I have $1.",5.327,5.327,5.95,1,0.4,"I wanted them to have more than $0.25. This is what they gave me. $0.40 seems fair.","Some experience","They gave me $0.25 which was multiplied by 4. This is why I had $1.","Generosity.","No, I would like to complete the study.",5785,"English",45,"Male","Asian","United States","United States","United States","English","No","Part-Time"
1087,"Control","Delay",2023-08-20 17:39:24,2023-08-20 17:45:22,2023-08-20 17:45:22,358,"I consent to participate in this study. Take me to the study.",1,"You would earn $0.75, and the other person would earn $0.25","They are anonymous and they will receive whatever portion I chose for us.",8.953,11.106,13.077,2,0.5,"Because I believe in equal share. If someone is putting in effort in to anything they should be rewarded and I don't mind splitting the dollar with them.","Some experience","Just that they're anonymous","To figure out how many people would be willing to share with someone they don't know.","No, I would like to complete the study.",407,"English",29,"Female","White","United States","United States","United States","English","No","Full-Time"
1088,"Debt","Pressure",2023-08-20 17:42:42,2023-08-20 17:45:40,2023-08-20 17:45:41,177,"I consent to participate in this study. Take me to the study.",0.41,"You would earn $0.75, and the other person would earn $0.25","they dont know me and i dont know them or can find out about each other",1.609,6.037,6.997,5,0.47,"i didnt want to give them all in case they didnt multiply it","Some experience","they dont know me or will find out about me","trust","No, I would like to complete the study.",5249,"English",49,"Male","White","United States","United States","United States","English",NA,NA
1089,"Need","Delay",2023-08-20 17:41:43,2023-08-20 17:46:29,2023-08-20 17:46:30,286,"I consent to participate in this study. Take me to the study.",0.47,"You would earn $0.75, and the other person would earn $0.25","They lack access to food and receive some meals from a soup kitchen.",6.763,17.14,18.744,2,0.5,"I think it is quite fair to split the money evenly. It was noted this person has their issues, and I have mine as well.","Some experience","I was told that this person does not have regular access to food and gets some meals from a soup kitchen.","How generous people are when giving anonymously..","No, I would like to complete the study.",2294,"English",33,"Male","White","United States","United States","United States","English","No","Full-Time"
1090,"Need","Pressure",2023-08-20 17:38:12,2023-08-20 17:46:43,2023-08-20 17:46:43,510,"I consent to participate in this study. Take me to the study.",0.75,"You would earn $0.75, and the other person would earn $0.25","The person receives their meals at a soup kitchen. I will never know them and they will never know me.",1.49,2.617,3.358,2,0.51,"I wanted to give the other person about half of what I received. I quickly hit the slider and when I saw it was very near to 50 cents and hit the arrow button, so as to do it quickly enough.","Some experience","They lack consistent access to food and get several of their weekly meals at a soup kitchen.","How people make decisions regarding money and generousity.","No, I would like to complete the study.",878,"English",60,"Female","White","United States","United States","United States","English",NA,NA
1091,"Control","Pressure",2023-08-20 17:39:52,2023-08-20 17:47:09,2023-08-20 17:47:10,436,"I consent to participate in this study. Take me to the study.",0.85,"You would earn $0.75, and the other person would earn $0.25","The person is chosen randomly and will remain anonymous.",2.92,2.92,4.5,1,0.51,"I want to there to be an equal split with the other person.","A lot of experience","They are chosen randomly and are anonymous.","How generous people are with strangers","No, I would like to complete the study.",2102,"English",52,"Male","Black","United States","United States","United States","English","No","Full-Time"
1092,"Need","Delay",2023-08-20 17:43:01,2023-08-20 17:47:12,2023-08-20 17:47:13,250,"I consent to participate in this study. Take me to the study.",0.58,"You would earn $0.75, and the other person would earn $0.25","The other person has very little money and eats at soup kitchens",11.635,13.601,16.579,2,1,"As much as I could really use the money I do have some reliable access to food and, as such, I think the other person could use it more.","Some experience","The other person has unreliable access to food and eats at soup kitchens.","Greed vs charity maybe?","No, I would like to complete the study.",266,"English",25,"Female","White","United States","United States","United States","English","No","Full-Time"
1093,"Control","Pressure",2023-08-20 17:45:40,2023-08-20 17:47:24,2023-08-20 17:47:24,104,"I consent to participate in this study. Take me to the study.",0.67,"You would earn $0.75, and the other person would earn $0.25","random and anonymous",1.301,2.446,3.325,3,0,"because i needm oney","A lot of experience","random and anonymou","idk","No, I would like to complete the study.",1441,"English",40,"Male","White","United States","United States","United States","English","No","Part-Time"
1094,"Debt","Delay",2023-08-20 17:39:43,2023-08-20 17:47:42,2023-08-20 17:47:43,479,"I consent to participate in this study. Take me to the study.",0.65,"You would earn $0.75, and the other person would earn $0.25","The other was given 25 cents and the option of transfering it to me where it would be quadrupled.",4.275,18.497,21.284,3,0.5,"I think that we should behave decently towards others and reward trusting behavior. This is more important than money.","Some experience","I only recall that the other person received an amount and chose the ""at-risk"" option. I do not recall any personal details about the person and don't believe any were provided.","Altruism, greed, trust. Something in that general area.","No, I would like to complete the study.",5279,"English",64,"Male","White","United States","United States","United States","English",NA,NA
1095,"Control","Pressure",2023-08-20 17:45:42,2023-08-20 17:48:02,2023-08-20 17:48:02,139,"I consent to participate in this study. Take me to the study.",0.56,"You would earn $0.75, and the other person would earn $0.25","Will be a random person you are matched with",1.746,8.261,9.401,7,0.5,"I wanted to be fair","No experience","They were a random person","Perception of splitting money with stranger","No, I would like to complete the study.",5495,"English",27,"Male","White","United States","United States","United States","English",NA,NA
1096,"Debt","Pressure",2023-08-20 17:39:00,2023-08-20 17:48:06,2023-08-20 17:48:07,546,"I consent to participate in this study. Take me to the study.",1,"You would earn $0.75, and the other person would earn $0.25","That I will never meet this other person and they will never know who I am, vice versa. The person has also just received $0.25 and was asking it they wanted to multiply that by four and transfer the money to me. For which they agreed to and sent me $1.00.",8.167,8.167,9.026,1,0.71,"At first I was going to send half, however when I considered that they multiplied their share and gave it to me. I felt obligated to return the favor and at least give more than half to show my gratitude.","Some experience","There wasn't any personal info, just the usual they multiplied their $0.25 to a $1.00 and choose to gave that amount to me. They will never know who I am and I will never know who they are.","How much someone would be willing to give back if they were sent something of value from an unknown person or someone they dont even know.","No, I would like to complete the study.",440,"English",23,"Male","Black","United States","United States","United States","English","Yes","Full-Time"
1097,"Need","Delay",2023-08-20 17:39:15,2023-08-20 17:48:21,2023-08-20 17:48:21,545,"I consent to participate in this study. Take me to the study.",0,"You would earn $0.75, and the other person would earn $0.25","The other person has to go to the food kitchen a coupon times a month",8.41,13.517,14.424,6,0.5,"I wanted to split the money.","No experience","They go to the soup kitchen a few times a week for meals","If the person needed money, would I give them more.","No, I would like to complete the study.",1824,"English",55,"Female","White","United States","United States","United States","English","No","Full-Time"
1098,"Need","Pressure",2023-08-20 17:36:09,2023-08-20 17:48:26,2023-08-20 17:48:27,737,"I consent to participate in this study. Take me to the study.",0.4,"You would earn $0.75, and the other person would earn $0.25","The other person doesn't always have food.",3.122,4.343,5.211,2,0.51,"Because the other person receiving food from a soup kitchen when he can, I wanted to help him.","Some experience","The person didn't always have access to food, and he sometimes eats at a soup kitchen.","You were trying to see if sympathy effects giving.","No, I would like to complete the study.",1639,"English",50,"Female","Black","United States","United States","United States","English",NA,NA
1099,"Need","Pressure",2023-08-20 17:33:16,2023-08-20 17:48:33,2023-08-20 17:48:34,916,"I consent to participate in this study. Take me to the study.",0.46,"You would earn $0.75, and the other person would earn $0.25","The person I've been matched with often eats food at a some kitchen because they lack regular access to food",2.439,2.439,3.629,1,0.5,"I felt the amount I gave was the most fair for the both of us","Some experience","The other person lacked resources for food, so they regularly attended a soup kitchen","To see how decisions are made depending on certain added factors","No, I would like to complete the study.",1977,"English",39,"Male","Other","United States","United States","United States","English",NA,NA
1100,"Control","Delay",2023-08-20 17:45:25,2023-08-20 17:48:47,2023-08-20 17:48:48,201,"I consent to participate in this study. Take me to the study.",0.6,"You would earn $0.75, and the other person would earn $0.25","That the other person won't know who I am and I won't know who they are.",5.908,12.066,14.097,2,0,"because of greed","Some experience","That I get to split 1$ between me and them as a bonus payment. They wont know who I am and I wont know who they are.","peoples willingness to be generous","No, I would like to complete the study.",1506,"English",21,"Male","White","United States","United States","United States","English","Yes","Unemployed (and job seeking)"
1101,"Need","Pressure",2023-08-20 17:44:53,2023-08-20 17:49:25,2023-08-20 17:49:26,272,"I consent to participate in this study. Take me to the study.",0.46,"You would earn $0.75, and the other person would earn $0.25","They lack sufficient access to food and go to a local soup kitchen.",0.817,3.457,6.556,3,0.9,"They need the money more than me, but I also don't make a lot of money.","No experience","They're anonymous, but they lack sufficient access to food and also visit a local soup kitchen for some of their meals.","To see how people make charitable donations.","No, I would like to complete the study.",240,"English",36,"Male","White","United States","United States","United States","English","No","Full-Time"
1102,"Need","Pressure",2023-08-20 17:43:25,2023-08-20 17:49:45,2023-08-20 17:49:46,379,"I consent to participate in this study. Take me to the study.",0.57,"You would earn $0.75, and the other person would earn $0.25","The other person gets food at a soup kitchen as has little access to food.",2.396,4.904,6.212,2,0.5,"I guess that we should split it 50/50. They seem to be struggling for food so I thought I would give them half of my amount.","Some experience","They struggle to find regular meals and go to a soup kitchen.","To see if knowing someone has hardships would make people more likely to give.","No, I would like to complete the study.",2582,"English",36,"Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1103,"Control","Delay",2023-08-20 17:44:32,2023-08-20 17:49:51,2023-08-20 17:49:51,319,"I consent to participate in this study. Take me to the study.",0.58,"You would earn $0.75, and the other person would earn $0.25","The other person is completely random and neither of us will never know we were partnered.",2.83,4.794,13.768,2,0.5,"Neither of us deserve more or less than the other. I did an equal 50/50.","No experience","They are another random prolific user.","How people choose to share with strangers.","No, I would like to complete the study.",53,"English",20,"Female","White","United States","United States","United States","English",NA,NA
1104,"Need","Delay",2023-08-20 17:46:27,2023-08-20 17:49:52,2023-08-20 17:49:53,205,"I consent to participate in this study. Take me to the study.",0.84,"You would earn $0.75, and the other person would earn $0.25","The other person doesn't have regular access to food and gets meals at soup kitchens.",6.01,6.728,13.268,2,1,"I felt sorry for the other person.","Some experience","The other person doesn't have regular access to food and gets meals at soup kitchens.","Trying to study how knowledge of the person's situation would affect how much money I would give them.","No, I would like to complete the study.",545,"English",37,"Female","Asian","India","United States","United States","English",NA,NA
1105,"Control","Delay",2023-08-20 17:46:42,2023-08-20 17:50:18,2023-08-20 17:50:19,216,"I consent to participate in this study. Take me to the study.",0.38,"You would earn $0.75, and the other person would earn $0.25","They will not know me and I will not know them.  They will receive the money that I give them.",13.759,13.759,15.219,1,0,"I usually give to others however today I wanted to keep it for myself.","Some experience","They are a random Prolific user and they will never know me and I will never know them.","To see if we would give money to a stranger similar to ourselves.","No, I would like to complete the study.",4357,"English",48,"Female","White","United States","United States","United States","English","No","Full-Time"
1106,"Debt","Pressure",2023-08-20 17:46:04,2023-08-20 17:50:23,2023-08-20 17:50:23,258,"I consent to participate in this study. Take me to the study.",1,"You would earn $0.75, and the other person would earn $0.25","If the other person multiplied what was given to them, they would have $1 to give you.",5.703,6.329,7.337,2,0.81,"I believe giving more will allow the universe to return more to you. Its an energy flow.","No experience","The other person had .25 I had given them. Before they had zero.","How much I would give without wanting anything in return.","No, I would like to complete the study.",28,"English",40,"Female","White","United States","United States","United States","English","Yes","Full-Time"
1107,"Debt","Pressure",2023-08-20 17:46:24,2023-08-20 17:50:26,2023-08-20 17:50:26,242,"I consent to participate in this study. Take me to the study.",0.51,"You would earn $0.75, and the other person would earn $0.25","they chose to quadruple it so I get 1 dollar",2.86,6.179,7.501,3,0.32,"seemed pretty fair","Some experience","they gave me some money","dunno","No, I would like to complete the study.",2179,"English",42,"Male","White","United States","United States","United States","English",NA,NA
1108,"Control","Pressure",2023-08-20 17:36:37,2023-08-20 17:50:36,2023-08-20 17:50:36,838,"I consent to participate in this study. Take me to the study.",0.75,"You would earn $0.75, and the other person would earn $0.25","I was told that the other person is from Prolific, unknown to me, and a randomized match.",0.867,5.896,6.3,7,0.52,"I chose the halfway mark real quick in a panic because I couldnt find my cursor  at first! And also, because I didn't want to miss the opportunity due to the timer.","Some experience","I recall that you told me that the other person I was matched with in the main task was an ""anonymous, randomly chosen participant from Prolific.""","Decision making or studying how we judge making decisions related to money","No, I would like to complete the study.",644,"English",33,"Female","White","United States","United States","United States","English","No","Due to start a new job within the next month"
1109,"Need","Delay",2023-08-20 17:47:15,2023-08-20 17:50:37,2023-08-20 17:50:37,201,"I consent to participate in this study. Take me to the study.",0.65,"You would earn $0.75, and the other person would earn $0.25","They are less fortunate than most and regularly visit soup kitchens.",3.396,3.396,5.25,1,0.5,"It was free to me, and giving half was more than they'd normally have.","Some experience","They are less fortunate than most, and regularly visit soup kitchens for meals.","Our level of compassion?","No, I would like to complete the study.",3063,"English",51,"Male","White","United States","United States","United States","English",NA,NA
1110,"Control","Delay",2023-08-20 17:45:40,2023-08-20 17:50:50,2023-08-20 17:50:50,309,"I consent to participate in this study. Take me to the study.",0.62,"You would earn $0.75, and the other person would earn $0.25","You told us that whatever we decide to give. That affects our payment.",9.707,9.707,13.296,1,0.3,"I thought the amount was fair. I wanted most of the money.","A lot of experience","That the other person's amount of money would be decided by what I choose.","You were studying how generous, participants are.","No, I would like to complete the study.",2433,"English",34,"Male","Black","United States","United States","United States","English","No","Full-Time"
1111,"Need","Pressure",2023-08-20 17:46:30,2023-08-20 17:51:08,2023-08-20 17:51:09,278,"I consent to participate in this study. Take me to the study.",0.37,"You would earn $0.75, and the other person would earn $0.25","matched with a person that has little mean, and relies on soup kitchens for multiple meals per week",1.65,2.969,4.127,2,0.5,"half for the other person and half for me seemed fair","Some experience","that they rely on soup kitchens for food several times per week","to see how far my altruism goes","No, I would like to complete the study.",255,"English",44,"Female","White","United States","United States","United States","English","No","Part-Time"
1112,"Debt","Delay",2023-08-20 17:43:13,2023-08-20 17:51:14,2023-08-20 17:51:15,481,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The person chose to give me .25 and it was then multiplied by four so I received the 1.00 that I have now because of this.",76.618,76.618,78.299,1,0.74,"I chose to give them .75 because I originally sent .25... because they we're the reason I have 1.00 I wanted to make sure they had 1.00 at the end as well.","Some experience","I did a probability game in which the group had to decide which option to pick over 30 rounds to determine how much money we would receive in the end; the group with the higher number of same options received the most money.","To determine how fair the study taker was.","No, I would like to complete the study.",228,"English",32,"Female","Black","United States","United States","United States","English","No","Full-Time"
1113,"Control","Delay",2023-08-20 17:48:45,2023-08-20 17:51:15,2023-08-20 17:51:16,150,"I consent to participate in this study. Take me to the study.",0.87,"You would earn $0.75, and the other person would earn $0.25","They're anonymous - I don't know who they are (aside from another Prolific worker).",7.239,7.239,12.659,1,0.5,"Because it's fair/it's what I would want someone to do for me.","A lot of experience","They were a Prolific worker, they were anonymous, I would never know who they are and vice versa.","no idea.","No, I would like to complete the study.",4698,"English",37,"Female","Asian","Japan","United States","United States","Japanese",NA,NA
1114,"Control","Pressure",2023-08-20 17:44:36,2023-08-20 17:51:22,2023-08-20 17:51:22,406,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The other person is randomly selected and anonymous.",1.208,4.061,4.597,3,0,"I decided not to send the other person any money because I thought the amount given was too small to share to be meaningful. I rather keep it.","Some experience","The person was randomly selected and their identity will never be shared.","How much money people would be willing to share with a random prolific participant.","No, I would like to complete the study.",4295,"English",24,"Female","Black","United States","United States","United States","English","No","Unemployed (and job seeking)"
1115,"Debt","Delay",2023-08-20 17:44:48,2023-08-20 17:51:41,2023-08-20 17:51:42,413,"I consent to participate in this study. Take me to the study.",0.68,"You would earn $0.75, and the other person would earn $0.25","the other person was asked if they want to multiply your earnings by 4.",11.684,11.684,15.013,1,0.2,"I gave an amount that I was comfortable giving.","Some experience","that they wanted to give me a set amount and that they chose to multiply the earnings.","economiic decisions","No, I would like to complete the study.",3758,"English",40,"Male","White","United States","United States","United States","English",NA,NA
1116,"Need","Pressure",2023-08-20 17:47:37,2023-08-20 17:51:54,2023-08-20 17:51:55,256,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The other person is food insecure and uses soup kitchen resources on a regular basis.",3.137,4.718,5.924,2,1,"I have enough money and food, and the other person doesn't. I feel that this person needs the money more than I do.","Some experience","The other person does not have regular access to food and has to visit soup kitchens for many of their meals.","Altruism","No, I would like to complete the study.",2915,"English",54,"Female","White","United States","United States","United States","English","No","Full-Time"
1117,"Debt","Delay",2023-08-20 17:45:50,2023-08-20 17:51:59,2023-08-20 17:52:00,369,"I consent to participate in this study. Take me to the study.",0.39,"You would earn $0.75, and the other person would earn $0.25","The other person was initially given 25 cents, and given the option to transfer it to me, so that it would be multiplied by 4. They said yes, so I have $1.",5.243,6.53,17.679,2,0.5,"The other player took the risk to give me some money, supposing and hoping that I would pay back a fair portion. I am dividing my current dollar evenly, to be fair.","Some experience","The other person initially got 25 cents, and was told that if the money was transferred to me it would multiply by 4. The person chose to do the transfer.","Maybe you are looking at what factors influence how much money gets transferred back.","No, I would like to complete the study.",3713,"English",52,"Male","White","United States","United States","United States","English","No","Unemployed (and job seeking)"
1118,"Debt","Pressure",2023-08-20 17:47:21,2023-08-20 17:52:30,2023-08-20 17:52:31,309,"I consent to participate in this study. Take me to the study.",0.69,"You would earn $0.75, and the other person would earn $0.25","The other person was given the change to multiply their .25 by four and give it to me, they said yes. They do not know anything about me.",4.048,5.298,7.033,2,0.3,"A bit of selfishness, but I wanted to give them a bit to make sure that no time was wasted.","Some experience","They were give the chance to multiply their given .25 by four and they did. 
","I'm not entirely sure. Thank you!","No, I would like to complete the study.",571,"English",26,"Male","White","United States","United States","United States","English",NA,NA
1119,"Need","Delay",2023-08-20 17:49:43,2023-08-20 17:52:49,2023-08-20 17:52:49,185,"I consent to participate in this study. Take me to the study.",0.55,"You would earn $0.75, and the other person would earn $0.25","The other person has limited money and access to food, and regularly eats at a food kitchen.",4.212,9.09,15.905,4,1,"I thought this person needs the $1 more than I do.","Some experience","The person had limited funds and often ate from food banks.","How much money you shared.","No, I would like to complete the study.",768,"English, French",27,"Female","White","United States","United States","United States","English","No","Full-Time"
1120,"Need","Delay",2023-08-20 17:48:51,2023-08-20 17:52:54,2023-08-20 17:52:55,243,"I consent to participate in this study. Take me to the study.",0.49,"You would earn $0.75, and the other person would earn $0.25","The eat at a soup kitchen and are poor.",8.862,10.836,13.429,2,0,"Because I'm hear to make money and not give it away.","Some experience","They didn't have food and they ate at a soup kitchen.","something to do with compassion.","No, I would like to complete the study.",2067,"English",47,"Male","White","United States","United States","United States","English","No","Full-Time"
1121,"Need","Delay",2023-08-20 17:46:07,2023-08-20 17:52:57,2023-08-20 17:52:58,410,"I consent to participate in this study. Take me to the study.",0.69,"You would earn $0.75, and the other person would earn $0.25","The other participant lacks stable finances and relies on assistance from others.",11.278,12.501,42.049,2,1,"It's just a dollar, it won't make an impact in my life to lose it, but it could help someone else.","Some experience","They don't have regular access to food and rely on a soup kitchen for their meals.","to see whether or not people are selfish","No, I would like to complete the study.",999,"English",44,"Female","White","United States","United States","United States","English","No","Part-Time"
1122,"Debt","Delay",2023-08-20 17:47:11,2023-08-20 17:53:06,2023-08-20 17:53:07,355,"I consent to participate in this study. Take me to the study.",0.49,"You would earn $0.75, and the other person would earn $0.25","Other person was asked to multiply amt by 4, and if they wanted to give you that total amt; they said yes",9.939,27.235,28.208,3,0.5,"Wanted to make it fair without any multiplication of amts. Half of the dollar is fair","Some experience","they had .25; was asked to multiply by 4, and then was asked if person wanted to give me the full multiplied amt","Honestly don't know.Perception of fairness?","No, I would like to complete the study.",4460,"English",57,"Female","Asian","United States","United States","United States","English",NA,NA
1123,"Need","Pressure",2023-08-20 17:48:47,2023-08-20 17:53:06,2023-08-20 17:53:07,259,"I consent to participate in this study. Take me to the study.",0.57,"You would earn $0.75, and the other person would earn $0.25","The person is food insecure and relies on food banks to get food.",1.681,4.219,5.88,3,1,"The person needs it more than me. While I could get the money and donate it to charity, where it would do as much or more, the other person will pay a lower tax rate than me on the money so it is more efficient to give it to them this way.","A lot of experience","They were food insecure and got many of thier meals from soup kitchens.","How people make split second decisions about generosity.","No, I would like to complete the study.",1006,"English",23,"Male","White","United States","United States","United States","English","No","Full-Time"
1124,"Need","Delay",2023-08-20 17:45:11,2023-08-20 17:53:09,2023-08-20 17:53:09,477,"I consent to participate in this study. Take me to the study.",0.71,"You would earn $0.75, and the other person would earn $0.25","The other person is experiencing financial hardship (e.g. needs to use a food bank)",15.95,15.95,23.252,1,0.65,"First I wanted to split it 50-50, but I decided that the moral thing to do was to give more than that. Therefore, I chose to give a bit more to the other person (due to their situation), although I can certainly use the funds myself too.","Some experience","They receive $0 to start off with, and I have to decide how much to give from my bonus. That person frequents a soup kitchen and is clearly not financially stable.","I guess you're studying different scenarios and seeing how much people are willing to give away based on different moral back stories.","No, I would like to complete the study.",874,"English, Dutch",36,"Female","White","Netherlands","United States","United States","English","No","Part-Time"
1125,"Debt","Pressure",2023-08-20 17:49:11,2023-08-20 17:53:10,2023-08-20 17:53:10,238,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","that they gave a 1.00",2.033,2.033,3.497,1,0.62,"to always give more then you reseave","Some experience","they agreed to give a 1.00","how greedy people are","No, I would like to complete the study.",1336,"English",35,"Male","White","United States","United States","United States","English","No",NA
1126,"Control","Pressure",2023-08-20 17:48:49,2023-08-20 17:53:17,2023-08-20 17:53:17,267,"I consent to participate in this study. Take me to the study.",0.6,"You would earn $0.75, and the other person would earn $0.25","I will be matched with an anonymous random prolific user and will decide how to split $1",2.942,8.494,10.069,3,0.03,"I'm not sure it a real person and would rather use the money myself.","A lot of experience","random and anonymous.","If I believe I'm really being matched and my willingness to give money to a stranger.","No, I would like to complete the study.",1706,"English",59,"Male","White","Czech Republic","United States","United States","English",NA,NA
